gene_a	gene_b	n_both	g1_only	g2_only	neither	odds_ratio	p_value	q_value_bh
AKT3	PTEN	39	76	822	5625	3.5115731847867844	6.5628525965840914e-09	1.4631933657957975e-08
AKT3	ERBB4	31	84	430	6017	5.164091915836102	2.8069801509333206e-11	7.634986010538632e-11
AKT3	APC	46	69	780	5667	4.843589743589743	7.224769080590369e-14	2.6555907971899734e-13
AKT3	CTNNB1	25	90	387	6060	4.3496985357450475	2.8305373041991957e-08	5.745568259270009e-08
AKT3	STK11	12	103	139	6308	5.287141160857722	1.1414703046206585e-05	1.7843673727403397e-05
AKT3	SMARCA4	29	86	358	6089	5.735383915811355	1.0110399567586581e-11	2.8061517167179084e-11
AKT3	PBRM1	22	93	394	6053	3.634244855630151	2.339224778347647e-06	3.9275872821639506e-06
AKT3	CREBBP	40	75	430	6017	7.462945736434109	3.1476606515617505e-18	1.7836743692183252e-17
AKT3	MGA	37	78	396	6051	7.248348873348873	7.550587284216173e-17	3.5409650712186195e-16
AKT3	PTPRD	42	73	479	5968	7.168358738238911	2.567007700297475e-18	1.5178828140889417e-17
PTEN	ERBB4	86	775	375	5326	1.5760378494623657	0.0004434339037950052	0.0006030701091612071
PTEN	APC	121	740	705	4996	1.1587425723595937	0.16823261933429115	0.18303708983570877
PTEN	CTNNB1	148	713	264	5437	4.274916061031068	1.2660127453136227e-34	2.4596819051807525e-33
PTEN	STK11	15	846	136	5565	0.7255162703379224	0.2733142199340184	0.292682944181311
PTEN	SMARCA4	83	778	304	5397	1.893988465701529	2.6944058480811983e-06	4.468770674866378e-06
PTEN	PBRM1	81	780	335	5366	1.663398392652124	0.0001635739266279824	0.00022470761637783442
PTEN	CREBBP	115	746	355	5346	2.3214514971868745	4.392626047394476e-12	1.2986894400992364e-11
PTEN	MGA	104	757	329	5372	2.243249428836432	2.0448444454973954e-10	5.056342628866286e-10
PTEN	PTPRD	99	762	422	5279	1.625247229167444	8.11998047659988e-05	0.00011503305675183164
ERBB4	APC	120	341	706	5395	2.6891412526064817	3.858166648603144e-16	1.6397208256563362e-15
ERBB4	CTNNB1	54	407	358	5743	2.128409262487475	5.443069201236456e-06	8.81258823057331e-06
ERBB4	STK11	24	437	127	5974	2.5833978990612443	0.00013458187930763898	0.00018676668965141735
ERBB4	SMARCA4	87	374	300	5801	4.498101604278075	3.640192589082831e-24	3.5361870865376065e-23
ERBB4	PBRM1	62	399	354	5747	2.52264842898206	7.034653698080147e-09	1.5352369994415207e-08
ERBB4	CREBBP	87	374	383	5718	3.472905991259547	3.4107645968642633e-18	1.8554559406941594e-17
ERBB4	MGA	92	369	341	5760	4.211429797582434	1.1076590031810935e-23	1.0042774962175248e-22
ERBB4	PTPRD	124	337	397	5704	5.286652863837834	7.263108316469063e-38	1.6463045517329876e-36
APC	CTNNB1	72	754	340	5396	1.5154938367920112	0.0034291224831441204	0.004239642342796367
APC	STK11	23	803	128	5608	1.254903486924035	0.3203752654812235	0.34039871957379997
APC	SMARCA4	84	742	303	5433	2.029889781430973	2.1462056391964503e-07	4.0539439851488504e-07
APC	PBRM1	80	746	336	5400	1.7234775947912677	6.496038180720315e-05	9.299591500820663e-05
APC	CREBBP	129	697	341	5395	2.928154596363973	1.981197286814643e-19	1.2247401409399613e-18
APC	MGA	115	711	318	5418	2.7557519305787754	3.2277063797566843e-16	1.4160260246674488e-15
APC	PTPRD	115	711	406	5330	2.1233882757235003	3.4721765970484095e-10	8.432428878546137e-10
CTNNB1	STK11	15	397	136	6014	1.6708030819380648	0.08596637352796378	0.09583136721150062
CTNNB1	SMARCA4	44	368	343	5807	2.024242616301179	8.639663110386561e-05	0.00012113342092913117
CTNNB1	PBRM1	54	358	362	5788	2.4117411031204665	1.7629099141847188e-07	3.3768415257622785e-07
CTNNB1	CREBBP	54	358	416	5734	2.0790986248388483	1.060992439871563e-05	1.697587903794501e-05
CTNNB1	MGA	59	353	374	5776	2.5812667585705413	7.1117596297658674e-09	1.5352369994415207e-08
CTNNB1	PTPRD	68	344	453	5697	2.485984906822732	2.5069249888978364e-09	5.682363308168429e-09
STK11	SMARCA4	19	132	368	6043	2.363656949934124	0.0014162339291959127	0.0018170548525532466
STK11	PBRM1	18	133	398	6013	2.0446971700608305	0.0097953991812556	0.01200157016802488
STK11	CREBBP	19	132	451	5960	1.9021702613720353	0.015261438809386602	0.018367749363509538
STK11	MGA	18	133	415	5996	1.9553945103723163	0.012267913644924517	0.014896752283122627
STK11	PTPRD	31	120	490	5921	3.1216156462585034	6.014983682877278e-07	1.0623867284042983e-06
SMARCA4	PBRM1	58	329	358	5817	2.86449542374896	4.109307315932957e-10	9.804663069594424e-10
SMARCA4	CREBBP	82	305	388	5787	4.009920567855332	2.0256556300573308e-20	1.377445828438985e-19
SMARCA4	MGA	65	322	368	5807	3.1853817850391573	6.356196864905254e-13	2.1083970088466208e-12
SMARCA4	PTPRD	94	293	427	5748	4.318661029006242	1.1293968123612954e-24	1.2799830540094682e-23
PBRM1	CREBBP	68	348	402	5744	2.792016926859953	4.1166903793135436e-11	1.0766728684358499e-10
PBRM1	MGA	69	347	364	5782	3.1586122810906674	2.0751361770795126e-13	7.236372309815736e-13
PBRM1	PTPRD	69	347	452	5694	2.504947591237153	1.5591318591291577e-09	3.655895393820094e-09
CREBBP	MGA	105	365	328	5764	5.0552956899432	1.194185056451391e-31	2.030114595967365e-30
CREBBP	PTPRD	97	373	424	5668	3.476377156153574	6.902187193604317e-20	4.469987896810414e-19
MGA	PTPRD	103	330	418	5711	4.264412063215891	2.601673171174347e-26	3.216614102542829e-25
